Transaction date,Transaction,Name,Memo,Amount
7/26/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.40 ~ Category: Gas,-80.07
7/26/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.13 ~ Category: Other,-225.34
7/24/2022,DEBIT,NOFRILLS DENNIS' #3968 COQUITLAM,Rewards earned: 2.05 ~ Category: Groceries,-102.35
7/22/2022,CREDIT,PREAUTHORIZED PAYMENT,,2268.16
7/22/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 1.59 ~ Category: Other,-318.76
7/21/2022,DEBIT,URBAN GATE COQUITLAM BC,Rewards earned: 0.11 ~ Category: Groceries,-5.49
7/15/2022,DEBIT,SEWAK'S NO FRILLS STOR PT-COQUIT,Rewards earned: 0.24 ~ Category: Groceries,-12.08
7/15/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 3.22 ~ Category: Other,-644.27
7/15/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 2.49 ~ Category: Other,-498.36
7/10/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 1.47 ~ Category: Other,-293.99
7/10/2022,DEBIT,WAVES COFFEE PITT MEAD PITT MEAD,Rewards earned: 0.16 ~ Category: Restaurant,-7.82
7/5/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.36 ~ Category: Gas,-71.68
7/5/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.07 ~ Category: Other,-214.53
7/5/2022,DEBIT,KIN'S FARM LEV COQUITLAM BC,Rewards earned: 0.79 ~ Category: Groceries,-39.68
7/2/2022,DEBIT,BEAVERDELL GENERAL STO BEAVERDEL,Rewards earned: 0.01 ~ Category: Other,-2.5
7/1/2022,DEBIT,KETTLE RIVER MUSEUM MIDWAY BC,Rewards earned: 0.10 ~ Category: Other,-20
6/30/2022,DEBIT,HOME RESTAURANT STR 1 HOPE BC,Rewards earned: 0.23 ~ Category: Restaurant,-11.57
6/27/2022,DEBIT,OPA088-COQUITLAM COQUITLAM BC,Rewards earned: 0.37 ~ Category: Restaurant,-18.38
6/27/2022,DEBIT,REAL CDN SUPERSTORE 15 COQUITLAM,Rewards earned: 0.53 ~ Category: Groceries,-26.28
